Id,CatalogBrandId,CatalogTypeId,Name,Description,Price,AvailableStock,MaxStockThreshold,OnReorder,RestockThreshold
100,5,5,INFLATABLE POLITICAL GLOBE ,INFLATABLE POLITICAL GLOBE ,0.8500000000000006,4,5,0,1
101,5,5,GROOVY CACTUS INFLATABLE,GROOVY CACTUS INFLATABLE,0.41190476190476183,4,5,0,1
102,5,5,DOGGY RUBBER,DOGGY RUBBER,0.21,4,5,0,1
103,5,5,HEARTS WRAPPING TAPE ,HEARTS WRAPPING TAPE ,0.65,4,5,0,1
104,5,5,SPOTS ON RED BOOKCOVER TAPE,SPOTS ON RED BOOKCOVER TAPE,0.42000000000000004,4,5,0,1
105,5,5,ARMY CAMO BOOKCOVER TAPE,ARMY CAMO BOOKCOVER TAPE,0.42,4,5,0,1
106,5,5,MINI FUNKY DESIGN TAPES,MINI FUNKY DESIGN TAPES,0.7771186440677974,4,5,0,1
107,5,5,COLOURING PENCILS BROWN TUBE,COLOURING PENCILS BROWN TUBE,0.5275000000000013,4,5,0,1
108,5,5,COLOURING PENCILS BROWN TUBE,COLOURING PENCILS BROWN TUBE,1.1820720720720717,4,5,0,1
109,5,5,ASSTD DESIGN RACING CAR PEN,ASSTD DESIGN RACING CAR PEN,1.838474576271186,4,5,0,1
110,5,5,FAN BLACK FRAME ,FAN BLACK FRAME ,0.29,4,5,0,1
111,5,5,PAPER POCKET TRAVELING FAN ,PAPER POCKET TRAVELING FAN ,0.13688888888888903,4,5,0,1
112,5,5,ASSORTED COLOURS SILK FAN,ASSORTED COLOURS SILK FAN,0.8050310559006263,4,5,0,1
113,5,5,SANDALWOOD FAN,SANDALWOOD FAN,0.8358823529411774,4,5,0,1
114,5,5,PINK PAPER PARASOL ,PINK PAPER PARASOL ,2.98253333333333,4,5,0,1
115,5,5,BLUE PAPER PARASOL ,BLUE PAPER PARASOL ,2.933333333333334,4,5,0,1
116,5,5,PURPLE PAPER PARASOL,PURPLE PAPER PARASOL,2.9429824561403497,4,5,0,1
117,5,5,RED PAPER PARASOL,RED PAPER PARASOL,2.961830985915491,4,5,0,1
118,5,5,EDWARDIAN PARASOL BLACK,EDWARDIAN PARASOL BLACK,5.86911660777388,4,5,0,1
119,5,5,EDWARDIAN PARASOL NATURAL,EDWARDIAN PARASOL NATURAL,5.867100271002731,4,5,0,1
120,5,5,EDWARDIAN PARASOL PINK,EDWARDIAN PARASOL PINK,5.940916030534361,4,5,0,1
121,5,5,BLUE POLKADOT GARDEN PARASOL,BLUE POLKADOT GARDEN PARASOL,7.808823529411759,4,5,0,1
122,5,5,PINK POLKADOT GARDEN PARASOL,PINK POLKADOT GARDEN PARASOL,7.862195121951214,4,5,0,1
123,5,5,ICE CREAM DESIGN GARDEN PARASOL,ICE CREAM DESIGN GARDEN PARASOL,6.349999999999998,4,5,0,1
124,5,5,FAIRY CAKE DESIGN UMBRELLA,FAIRY CAKE DESIGN UMBRELLA,3.820315789473684,4,5,0,1
125,5,5,SMALL FOLDING SCISSOR(POINTED EDGE),SMALL FOLDING SCISSOR(POINTED EDGE),0.1353846153846154,4,5,0,1
126,5,5,FOLDING CAMPING SCISSOR W/KNIF & S,FOLDING CAMPING SCISSOR W/KNIF & S,0.12,4,5,0,1
127,5,5,ANIMAL STICKERS,ANIMAL STICKERS,0.2100000000000001,4,5,0,1
128,5,5,FOOD/DRINK SPONGE STICKERS,FOOD/DRINK SPONGE STICKERS,0.21,4,5,0,1
129,5,5,SMALL CHINESE STYLE SCISSOR,SMALL CHINESE STYLE SCISSOR,0.4007692307692311,4,5,0,1
130,5,5,MEDIUM CHINESE STYLE SCISSOR,MEDIUM CHINESE STYLE SCISSOR,0.48833333333333334,4,5,0,1
131,5,5,LARGE CHINESE STYLE SCISSOR,LARGE CHINESE STYLE SCISSOR,0.8456666666666676,4,5,0,1
132,5,5,CLEAR STATIONERY BOX SET ,CLEAR STATIONERY BOX SET ,0.85,4,5,0,1
133,5,5,MINI HIGHLIGHTER PENS,MINI HIGHLIGHTER PENS,0.12,4,5,0,1
134,5,5,POP ART PUSH DOWN RUBBER ,POP ART PUSH DOWN RUBBER ,0.12,4,5,0,1
135,5,5,POPART WOODEN PENCILS ASST,POPART WOODEN PENCILS ASST,0.04363636363636366,4,5,0,1
136,5,5,TEATIME PEN CASE & PENS,TEATIME PEN CASE & PENS,0.8499999999999998,4,5,0,1
137,5,5,TEATIME ROUND PENCIL SHARPENER ,TEATIME ROUND PENCIL SHARPENER ,0.13276595744680858,4,5,0,1
138,5,5,TEATIME GEL PENS ASST,TEATIME GEL PENS ASST,0.24000000000000005,4,5,0,1
139,5,5,TEATIME PUSH DOWN RUBBER,TEATIME PUSH DOWN RUBBER,0.305,4,5,0,1
140,5,5,POPART RECT PENCIL SHARPENER ASST,POPART RECT PENCIL SHARPENER ASST,0.12937500000000007,4,5,0,1
141,5,5,FLOWERS HANDBAG blue and orange,FLOWERS HANDBAG blue and orange,1.25,4,5,0,1
142,5,5,WRAP- CAROUSEL,WRAP- CAROUSEL,0.42,4,5,0,1
143,5,5,WRAP PINK FAIRY CAKES ,WRAP PINK FAIRY CAKES ,0.4168098159509214,4,5,0,1
144,5,5,WRAP BAD HAIR DAY,WRAP BAD HAIR DAY,0.10000000000000002,4,5,0,1
145,5,5,WRAP  PINK FLOCK,WRAP  PINK FLOCK,0.42,4,5,0,1
146,5,5,WRAP ENGLISH ROSE ,WRAP ENGLISH ROSE ,0.41941176470588376,4,5,0,1
147,5,5,WRAP SUKI AND FRIENDS,WRAP SUKI AND FRIENDS,0.41954198473282556,4,5,0,1
148,5,5,THE KING GIFT BAG,THE KING GIFT BAG,0.65,4,5,0,1
149,5,5,THE KING GIFT BAG 25x24x12cm,THE KING GIFT BAG 25x24x12cm,0.42,4,5,0,1
150,5,5,FUNKY MONKEY GIFT BAG MEDIUM,FUNKY MONKEY GIFT BAG MEDIUM,0.42,4,5,0,1
151,5,5,WRAP 50'S  CHRISTMAS,WRAP 50'S  CHRISTMAS,0.4191176470588247,4,5,0,1
152,5,5,WRAP FOLK ART,WRAP FOLK ART,0.42,4,5,0,1
153,5,5,WRAP DAISY CARPET ,WRAP DAISY CARPET ,0.42,4,5,0,1
154,5,5,WRAP BLUE RUSSIAN FOLKART,WRAP BLUE RUSSIAN FOLKART,0.42,4,5,0,1
155,5,5,WRAP GREEN RUSSIAN FOLKART ,WRAP GREEN RUSSIAN FOLKART ,0.42,4,5,0,1
156,5,5,PASTEL PINK PHOTO ALBUM ,PASTEL PINK PHOTO ALBUM ,0.5,4,5,0,1
157,5,5,PASTEL BLUE PHOTO ALBUM ,PASTEL BLUE PHOTO ALBUM ,0.5,4,5,0,1
158,5,5,BLACK PHOTO ALBUM ,BLACK PHOTO ALBUM ,0.5,4,5,0,1
159,5,5,RED PURSE WITH PINK HEART,RED PURSE WITH PINK HEART,1.25,4,5,0,1
160,5,5,PINK STRAWBERRY HANDBAG ,PINK STRAWBERRY HANDBAG ,2.95,4,5,0,1
161,5,5,PINK HEART RED HANDBAG,PINK HEART RED HANDBAG,2.7866666666666666,4,5,0,1
162,5,5,LETTER SHAPE PENCIL SHARPENER,LETTER SHAPE PENCIL SHARPENER,0.0973684210526316,4,5,0,1
163,5,5,CARTOON  PENCIL SHARPENERS,CARTOON  PENCIL SHARPENERS,0.0740425531914894,4,5,0,1
164,5,5,HOUSE SHAPE PENCIL SHARPENER,HOUSE SHAPE PENCIL SHARPENER,0.09152173913043478,4,5,0,1
165,5,5,RATTLE SNAKE EGGS,RATTLE SNAKE EGGS,1.265079365079365,4,5,0,1
166,5,5,RECYCLED PENCIL WITH RABBIT ERASER,RECYCLED PENCIL WITH RABBIT ERASER,0.2140506329113928,4,5,0,1
167,5,5,KITTY PENCIL ERASERS,KITTY PENCIL ERASERS,0.2092424242424246,4,5,0,1
168,5,5,SLEEPING CAT ERASERS,SLEEPING CAT ERASERS,0.2060784313725496,4,5,0,1
169,5,5,PARTY TIME PENCIL ERASERS,PARTY TIME PENCIL ERASERS,0.23591549295774678,4,5,0,1
170,5,5,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,1.225,4,5,0,1
171,5,5,BLUE HOLE PUNCH,BLUE HOLE PUNCH,1.25,4,5,0,1
172,5,5,TRANSPARENT ACRYLIC TAPE DISPENSER,TRANSPARENT ACRYLIC TAPE DISPENSER,1.0233333333333332,4,5,0,1
173,5,5,SWIRLY CIRCULAR RUBBERS IN BAG,SWIRLY CIRCULAR RUBBERS IN BAG,0.49935483870967745,4,5,0,1
174,5,5,PIECE OF CAMO STATIONERY SET,PIECE OF CAMO STATIONERY SET,0.09677419354838714,4,5,0,1
175,5,5,HEAVENS SCENT FRAGRANCE OILS ASSTD,HEAVENS SCENT FRAGRANCE OILS ASSTD,0.29,4,5,0,1
176,5,5,BROCADE RING PURSE ,BROCADE RING PURSE ,0.3148717948717948,4,5,0,1
177,5,5,S/3 POT POURI CUSHIONS BLUE COLOURS,S/3 POT POURI CUSHIONS BLUE COLOURS,2.1,4,5,0,1
178,5,5,ORIGAMI SANDLEWOOD INCENSE+FLOWER,ORIGAMI SANDLEWOOD INCENSE+FLOWER,1.1333333333333335,4,5,0,1
179,5,5,ORIGAMI VANILLA INCENSE/CANDLE SET ,ORIGAMI VANILLA INCENSE/CANDLE SET ,1.1304347826086962,4,5,0,1
180,5,5,ORIGAMI JASMINE INCENSE/CANDLE SET,ORIGAMI JASMINE INCENSE/CANDLE SET,1.07638888888889,4,5,0,1
181,5,5,ORIGAMI LAVENDER INCENSE/CANDL SET ,ORIGAMI LAVENDER INCENSE/CANDL SET ,1.1621621621621634,4,5,0,1
182,5,5,ORIGAMI ROSE INCENSE/CANDLE SET ,ORIGAMI ROSE INCENSE/CANDLE SET ,1.1115384615384627,4,5,0,1
183,5,5,ORIGAMI OPIUM INCENSE/CANDLE SET ,ORIGAMI OPIUM INCENSE/CANDLE SET ,1.8666666666666665,4,5,0,1
184,5,5,ORIGAMI SANDLEWOOD INCENSE/CAND SET,ORIGAMI SANDLEWOOD INCENSE/CAND SET,1.0342857142857151,4,5,0,1
185,5,5,ORIGAMI ROSE INCENSE IN TUBE,ORIGAMI ROSE INCENSE IN TUBE,0.8672727272727272,4,5,0,1
186,5,5,ORIGAMI VANILLA INCENSE CONES,ORIGAMI VANILLA INCENSE CONES,0.6071428571428571,4,5,0,1
187,5,5,NAMASTE SWAGAT INCENSE,NAMASTE SWAGAT INCENSE,0.2933333333333335,4,5,0,1
188,5,5,INCENSE BAZAAR PEACH,INCENSE BAZAAR PEACH,0.42,4,5,0,1
189,5,5,PORCELAIN BUDAH INCENSE HOLDER,PORCELAIN BUDAH INCENSE HOLDER,0.09526315789473687,4,5,0,1
190,5,5,TRANQUILITY MASALA INCENSE,TRANQUILITY MASALA INCENSE,0.21,4,5,0,1
